====================================================================================================================================
                                                               S L S                                                                
                                                            version: 3.3                                                            
                                                S I M U L A T I O N   R E S U L T S                                                 
====================================================================================================================================
 time         | c   f   f   f   f   f   f   f   f   f   f   f   f   f   f   f   f   f   r 
 in 1e-09 sec | l   2   4   8   1   3   6   1   2   5   1   2   4   8   1   3   6   1   e 
              | k               6   2   4   2   5   1   0   0   0   1   6   2   5   3   s 
      11000.0 | 0   1   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      11100.0 | 1   1   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      11101.4 | 1   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      11102.4 | 1   0   1   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      11200.0 | 0   0   1   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      11300.0 | 1   0   1   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      11301.1 | 1   1   1   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      11400.0 | 0   1   1   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      11500.0 | 1   1   1   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      11501.4 | 1   0   1   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      11502.7 | 1   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      11503.7 | 1   0   0   1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      11600.0 | 0   0   0   1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      11700.0 | 1   0   0   1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      11701.1 | 1   1   0   1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      11800.0 | 0   1   0   1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      11900.0 | 1   1   0   1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      11901.4 | 1   0   0   1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      11902.4 | 1   0   1   1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      12000.0 | 0   0   1   1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      12100.0 | 1   0   1   1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      12101.1 | 1   1   1   1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      12200.0 | 0   1   1   1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      12300.0 | 1   1   1   1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      12301.4 | 1   0   1   1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      12302.7 | 1   0   0   1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      12304.0 | 1   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      12305.0 | 1   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      12400.0 | 0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      12500.0 | 1   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      12501.1 | 1   1   0   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      12600.0 | 0   1   0   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      12700.0 | 1   1   0   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      12701.4 | 1   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      12702.4 | 1   0   1   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      12800.0 | 0   0   1   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      12900.0 | 1   0   1   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      12901.1 | 1   1   1   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      13000.0 | 0   1   1   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      13100.0 | 1   1   1   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      13101.4 | 1   0   1   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0
